,MIN_PRICE,MAX_PRICE,CLASSIFICATION_GENRE,VENUE_LATITUDE,VENUE_LONGITUDE
84824,39.5,169.5,Metal,39.09674,-84.51345
84826,19.0,49.0,Undefined,44.7296288,-93.4749922
84863,45.5,120.5,Country,41.0759493,-85.13967863
84893,20.0,20.0,Rock,41.503925,-81.662398
84933,49.5,89.5,Rock,34.09850537,-118.32421313
84941,104.0,404.0,World,40.68285,-73.97519
84950,21.45,21.45,Pop,40.722036,-73.986806
84956,20.0,20.0,Dance/Electronic,42.35330048,-71.04747991
84961,18.0,18.0,Rock,29.78627,-95.36562
84970,49.0,349.0,Country,32.8674834,-80.0212533
84984,25.0,85.0,Rock,32.7163734,-117.16008559
85000,49.95,399.95,Pop,36.13674,-115.16126
85002,65.0,125.0,Latin,35.2050931,-80.7953024
85010,79.0,169.0,Rock,36.17054,-115.1444
85025,15.17,15.17,Rock,35.13297,-118.44529
85056,44.5,134.5,Classical,33.8844269,-84.4583631
85063,32.25,32.25,Rock,40.70708,-73.92193
85066,15.0,15.0,Other,41.477055,-81.7735853
85085,24.0,40.0,Other,39.641428,-77.72091
85091,18.0,25.0,Dance/Electronic,35.815896,-78.619991
85095,127.5,318.5,Rock,36.1207267,-115.1642896
85097,18.38,18.38,Blues,43.09205,-77.656606
85100,39.5,89.5,Rock,34.04263554,-118.25558624
85104,18.38,18.38,Rock,43.09205,-77.656606
85105,26.0,26.0,Rock,40.220001,-74.00071097
85141,35.0,55.0,World,26.0884017,-80.2461624
85147,50.76,81.76,Undefined,36.098738,-115.175011
85149,22.0,22.0,Undefined,40.8980978,-75.6869693
85157,15.0,15.0,Blues,38.6277137039,-90.2518002865
85164,25.0,25.0,Country,38.03066678,-78.48125473
85175,12.33,12.33,Rock,36.194958,-86.743149
85189,20.0,20.0,Rock,29.78627,-95.36562
85190,27.5,33.0,Country,39.96359,-82.984967
85193,15.0,15.0,Rock,32.790188,-79.938335
85202,29.0,79.0,Folk,40.349071,-74.07022
85206,13.0,13.0,Reggae,38.6277137039,-90.2518002865
85263,57.21,107.21,Dance/Electronic,36.102916,-115.169756
85290,39.5,99.5,Rock,32.790548,-96.814464
85318,30.0,30.0,Country,42.3323449,-83.041464
85330,59.0,239.0,Latin,33.445899,-112.071313
85334,10.0,10.0,Country,43.11520773,-75.59038661
85341,39.99,69.99,Undefined,36.135691,-115.152356
85349,27.0,27.0,Dance/Electronic,45.67919,-111.03776
85355,29.0,69.0,Undefined,39.35814,-74.4215137
85357,57.21,107.21,Dance/Electronic,36.102916,-115.169756
85359,27.5,33.0,Hip-Hop/Rap,42.3518332,-71.1195379
85371,59.5,295.0,Rock,41.0013461,-73.6654488
85377,59.0,59.0,Jazz,40.739502,-74.16809
85382,25.0,35.0,Country,36.8493416,-76.0194075
85398,21.45,21.45,Country,40.722036,-73.986806
85412,76.0,101.0,Undefined,36.11923772,-115.17165653
85426,20.0,20.0,Rock,40.720364,-73.993542
85436,49.5,99.5,Rock,34.06141494,-118.30879207
85438,103.0,1503.0,Country,36.116156,-115.175058
85445,61.0,271.0,Latin,40.6644999,-74.2133999
85448,44.99,74.99,R&B,36.135691,-115.152356
85473,20.0,45.0,Rock,38.99734055,-77.02746183
85480,41.0,61.0,Rock,37.791419,-122.413293
85492,55.0,95.0,Rock,41.2453832,-75.8818108
85567,44.99,74.99,R&B,36.135691,-115.152356
85719,20.0,20.0,Rock,40.220001,-74.00071097
85722,29.0,109.0,Folk,36.075463,-79.789603
85828,30.0,30.0,Rock,29.78627,-95.36562
85829,57.21,107.21,Dance/Electronic,36.102916,-115.169756
85846,103.0,1503.0,Country,36.116156,-115.175058
85916,35.0,35.0,Rock,38.569993,-121.49087928
85934,25.0,35.0,Dance/Electronic,38.902135,-77.032811
85941,105.0,185.0,Country,32.9758,-117.2583
85954,25.0,25.0,Undefined,36.25066198,-115.24547294
85962,25.0,35.0,Undefined,41.065981,-81.481754
85977,39.0,79.0,Other,41.18287,-96.04084
86116,20.0,20.0,Hip-Hop/Rap,38.03066678,-78.48125473
