artist_name,artist_spotify_id,scraped_popularity
Vana Liya,12GfQaPLWcOztNYsVL5wIV,34
Black Stone Cherry,6WMo39FU3nrpSz3qMgRKug,53
Austin Snell,6Hd5hSFd33CfhMqtG3fjtx,56
Colt Ford,0OpWIlokQeE7BNQMhuu2Nx,58
Fear Factory,74Hj7BmnUXyx2udrIEIKwX,52
Twiztid,2aMAN8kMJ7eUOAuPUYOwI7,49
Coast Contra,4xZTKft62AsF0SC3rAuYwJ,45
Confidence Man,0RwXnFrEoI8tltFvYpJgP6,54
veggi,,-1
Gasolina Party,,-1
The Marshall Tucker Band,59QxeZBL6k9L4oJBGSyukd,57
Malaa,7w1eTNePApzDk8XtgykCPS,50
Jagged Edge,7Aq8lpLMSt1Zxu56pe9bmp,62
Dru Hill,1255GTUKNCLCTvH9ctD4cT,56
Aaron Lewis,2t2XKfWKLXpFIjFwy1K8wx,57
Richy Mitch & The Coal Miners,4qU7IJSReZnsLy5907Mtau,70
Briscoe,28NTlcAifzUgF4SIZgxncj,39
The Backfires,2wMknlekLTOb4vRWn61NO5,37
mercury,,-1
Tucker Wetmore,4sCKpwwEsgReZxjtKFm2A0,70
Drew Baldridge,08qaG5crPMPF7i0h2wORk5,53
Bryan Martin,0ChjBYedhZTQnWZWQYg15U,67
Josh Ross,1ZGTSMjK1D2HrpPTOh916U,63
Dylan Marlowe,0ZZLr8EH3aNFzYpXtaTIax,56
Jessica Baio,0VMFTqmv0hYlWruyBERT95,56
Ni/Co,2IR0GSCHsTo7gSw8HHLBnr,42
The Altons,5AgZ9r9ZdWm7mD9t03KZZu,52
Thee Sinseers,5unhEp2PoIxAgEFNEyYdJS,54
Carpenters Legacy,7dInWZZF3YgfZd14KCEE6L,1
Marcellus TheSinger,1qUNuw7pQl8Eg8HHkjOcr5,43
FPJ,,-1
Sidepiece,5czbzNZZfWpyFgZyfT3Mkk,60
Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,72
MaRynn Taylor,40oKC5KWScA0TPIiKAofI8,38
Darkest Hour,4dso1lISV1Atdo3O6qbhqq,41
Drew & Ellie Holcomb,,-1
A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,57
Moody Joody,0ndpuECxVStTsHhzq4Euxz,44
Joaquin Sabina,,-1
Empire of the Sun,67hb7towEyKvt5Z8Bx306c,78
Dream Theater,2aaLAng2L2aWD2FClzwiep,65
Noah Thompson,38dDBc8guRXP1fjvothwyi,38
Mind's Eye,5GYU521BpiEC7ixhkIPzsH,3
Cathedral Bells,0a7RruzBySceAPGfmFZtQ2,41
Piano Man,,-1
Joe Jack Talcum,3CJreAnfiV4cEH46WjImXW,7
DJ Pauly D,4kGCUSJJlEKTuol4jSYGPb,23
Twinsick,4WfO14YgktUYkdLMrHgTeF,45
The Australian Bee Gees (Vegas),,-1
Michael W. Smith,5aBxFPaaGk9204ssHUvXWN,60
Chandler Moore,6y7frW1RUq3XBBXbYowVpk,70
Cavalera,,-1
Necrot,5jWIRPU5rVBm6ky8Atq7AW,27
Dead Heat,19iuui5P7sEZs1T7IX5Uh8,23
Augustana,61YE3whKiuRr83j1yOm5M7,45
FAVE,4wAqlYtTaaHELEgyCh9KjG,61
Patti LuPone,5VHtlZ44YzNmJY3G7nF944,53
Jessica Baio,0VMFTqmv0hYlWruyBERT95,56
Ni/Co,2IR0GSCHsTo7gSw8HHLBnr,42
Ole 60,3iXeAZ8862AyoZ5ZGg800O,63
Fox N' Vead,6b2SGANlOJdvJ9imgsVrSm,38
Rob Langdon,3ZzUliSP7uGqyljeW3Mfrw,31
Emily Ann Roberts,4ZuggB1YawAAZOBL4pI9J8,46
Craig Morgan,6ktyNEnEukKzskQEiXgCFD,55
The Porch Flowers,,-1
Pokey LaFarge,6hAUCkzZpoYGObd8qFW5TT,43
Cicada Rhythm,3Ks6VJR2RbM1Yhlux5xh76,33
The Australian Bee Gees (Vegas),,-1
Faye Webster,5szilpXHcwOqnyKLqGco5j,74
Adrian Vandenberg,15Fj1ifbqPm6vpaS5SRCqv,1
Bad Marriage,71PuLFLsX7qaGa3cF54WSx,10
Heartache Tonight - Eagles Tribute Band,,-1
Magic City Hippies,1ikg4sypcURm8Vy5GP68xb,53
Mustard Service,7kAZYW5e5hQHYGQ0XHYhns,47
Cavalera,,-1
Necrot,5jWIRPU5rVBm6ky8Atq7AW,27
Dead Heat,19iuui5P7sEZs1T7IX5Uh8,23
New West,69bG9tC62d8oTFC9aTTosn,69
Jabbawockeez,7AVxhrWi3oA5Setg6vvAoT,26
Cloe Wilder,4OmElN0ORkBfPbLi0vtCVf,29
Squeeze,6Jrj26oAY96EEC2lqC6fua,52
Shane Smith and the Saints,,-1
Russian Circles,0AZ3VR0YbFcS0Kgei7L2QF,44
Pelican,0Gq06EJlfPumvCdMsnkJFp,35
RSVP,,-1
Nivea,15Dh5PvHQj909E0RgAe0aN,47
Armor For Sleep,7eSbps3Uha3MMBNWhMYa2H,41
Boys Night Out,4wM8eTlGUeleEqowJc2iiZ,31
Hellogoodbye,6GH0NzpthMGxu1mcfAkOde,46
Richard Blade,,-1
Taemin,13rF01aOogvnkuQXOlgTW8,62
Leslie Mendelson,5Nfp6FbYdlF3KQ2wojhW0l,22
Revisiting Creedence,,-1
Kitty's Rave,,-1
If Not For Me,5aqpMOXNPtkxwT7jWuE9Vd,48
RnB Block Party,,-1
Jermaine Dupri,6nfYGe7IIuuP5bMY1jkJP6,57
Bryan-Michael Cox,2DQGYZN46cPcNWVRyAMX8l,27
DJ Envy,63rJq5DaUMq2OhAnh3al79,32
Mac Ayres,0fTav4sBLmYOAzKuJw0grL,55
Ron Pope,6CmXhyslohOFRJMtPpRm4O,52
Thunderstorm Artis,46G3SVc0bvgrmNOOTM5KV5,38
Sunpie & the Louisiana Sunspots,,-1
Jeffery Broussard,,-1
Marlon Asher,4DeCJnS3fuqohKk4FCVl0y,38
Experience Hendrix,,-1
Electric Feels,,-1
Lisa Loeb,1TMMyiSsNzmRiZCAkVLVb2,50
Absolute Queen,,-1
Dancing with the Stars,,-1
Rob49,1jBoSSrbz9n4ehQWA4cZgB,65
Babyfxce E,7a8ZndeHGrkS7xIM8060Xw,58
Star Bandz,5qhDQveADDnjIZQ85AtgDM,51
Disturbed,3TOqt5oJwL9BE2NG9MEwDa,76
Sevendust,35Uu85Pq33mK8x1jYqsHY2,55
Club Seating: Paramount Theatre,,-1
Mac Ayres,0fTav4sBLmYOAzKuJw0grL,55
Ron Pope,6CmXhyslohOFRJMtPpRm4O,52
Thunderstorm Artis,46G3SVc0bvgrmNOOTM5KV5,38
Sunpie & the Louisiana Sunspots,,-1
Jeffery Broussard,,-1
Marlon Asher,4DeCJnS3fuqohKk4FCVl0y,38
